,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
111962,2,2016-06-01 03:59:29,2016-06-01 04:21:51,5,19.22,-73.95204162597656,40.78144454956055,2,N,-73.7763671875,40.64558029174805,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
111967,1,2016-06-01 03:59:40,2016-06-01 04:34:34,1,18.7,-73.9798126220703,40.73913192749024,2,N,-73.77633666992188,40.64581298828125,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0
112300,1,2016-06-01 03:29:55,2016-06-01 03:58:40,2,18.6,-74.00175476074219,40.7459831237793,1,Y,-73.78893280029298,40.64729690551758,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
112385,2,2016-06-01 04:36:33,2016-06-01 05:01:43,2,17.38,-73.99727630615234,40.74176788330078,2,N,-73.78654479980467,40.64445495605469,1,52.0,0.0,0.5,12.0,5.54,0.3,70.34
112393,2,2016-06-01 04:36:47,2016-06-01 04:57:23,3,18.08,-73.94775390625,40.778968811035156,2,N,-73.79607391357422,40.64457321166992,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
112453,2,2016-06-01 04:02:20,2016-06-01 04:28:17,1,17.17,-73.97794342041014,40.76333236694336,2,N,-73.79046630859375,40.64668655395508,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
112466,1,2016-06-01 04:02:45,2016-06-01 04:43:28,4,22.0,-73.98269653320312,40.771263122558594,2,N,-73.7825927734375,40.64879608154297,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
112679,1,2016-06-01 04:38:18,2016-06-01 05:02:11,1,17.1,-73.99129486083984,40.75423049926758,2,N,-73.78572845458984,40.64325714111328,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
112683,1,2016-06-01 04:38:23,2016-06-01 05:04:27,1,18.6,-74.0033950805664,40.72674179077149,2,N,-73.784423828125,40.64332962036133,1,52.0,0.0,0.5,10.0,0.0,0.3,62.8
112823,2,2016-06-01 04:38:58,2016-06-01 05:04:33,1,17.89,-73.98902130126955,40.76054000854492,2,N,-73.7824478149414,40.64419937133789,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
112825,1,2016-06-01 04:39:05,2016-06-01 05:02:22,1,16.6,-73.97443389892578,40.7588119506836,2,N,-73.7867660522461,40.64458465576172,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
112833,1,2016-06-01 04:39:15,2016-06-01 05:06:41,1,18.5,-74.00680541992188,40.73078536987305,2,N,-73.79004669189453,40.64680862426758,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34
112838,1,2016-06-01 04:39:21,2016-06-01 05:04:02,1,17.1,-73.96068572998048,40.75730895996094,2,N,-73.78624725341797,40.643985748291016,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
112841,1,2016-06-01 04:39:27,2016-06-01 05:09:45,1,18.1,-73.98976898193358,40.75635147094727,2,N,-73.7824935913086,40.64411544799805,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
112858,1,2016-06-01 04:40:06,2016-06-01 05:06:31,2,17.0,-73.98719787597656,40.760162353515625,2,N,-73.79010772705078,40.646888732910156,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
112975,2,2016-06-01 04:40:12,2016-06-01 05:10:04,1,18.2,-74.00040435791014,40.7353630065918,2,N,-73.78269958496094,40.64410400390625,1,52.0,0.0,0.5,0.0,5.54,0.3,58.34
113009,1,2016-06-01 04:41:14,2016-06-01 05:08:23,1,17.5,-73.97392272949219,40.762794494628906,2,N,-73.77625274658203,40.645774841308594,1,52.0,0.0,0.5,18.55,0.0,0.3,71.35
